id_transaction,date_time,amount,state,type_transaction,id_customer
TXN001,2024-06-01 10:00:00,38940,Pendiente,Pago de Factura,1
TXN002,2024-07-09 12:00:00,75145,Pendiente,Pago de Factura,2
TXN003,2024-06-13 10:00:00,179217,Fallida,Pago de Factura,3
TXN004,2024-07-26 13:00:00,51767,Fallida,Pago de Factura,4
TXN005,2024-07-28 06:00:00,156501,Completada,Pago de Factura,5
TXN006,2024-07-16 21:00:00,32428,Completada,Pago de Factura,6
TXN007,2024-07-26 22:00:00,75301,Pendiente,Pago de Factura,7
TXN008,2024-06-17 16:00:00,16870,Pendiente,Pago de Factura,8
TXN009,2024-07-10 23:00:00,21794,Fallida,Pago de Factura,9
TXN010,2024-06-19 23:00:00,193307,Completada,Pago de Factura,10
TXN011,2024-06-01 06:00:00,159093,Completada,Pago de Factura,11
TXN012,2024-07-12 19:00:00,174518,Pendiente,Pago de Factura,12
TXN013,2024-07-04 12:00:00,110254,Fallida,Pago de Factura,13
TXN014,2024-07-12 04:00:00,162283,Pendiente,Pago de Factura,14
TXN015,2024-06-21 12:00:00,22161,Pendiente,Pago de Factura,15
TXN016,2024-07-08 12:00:00,195775,Pendiente,Pago de Factura,16
TXN017,2024-06-27 03:00:00,20824,Fallida,Pago de Factura,17
TXN018,2024-07-09 05:00:00,191134,Completada,Pago de Factura,18
TXN019,2024-06-16 20:00:00,62979,Completada,Pago de Factura,19
TXN020,2024-06-08 22:00:00,36472,Fallida,Pago de Factura,20
TXN021,2024-06-16 06:00:00,127881,Completada,Pago de Factura,21
TXN022,2024-07-30 03:00:00,26317,Fallida,Pago de Factura,22
TXN023,2024-07-27 01:00:00,147364,Pendiente,Pago de Factura,23
TXN024,2024-06-26 01:00:00,153404,Pendiente,Pago de Factura,24
TXN025,2024-07-07 10:00:00,14210,Completada,Pago de Factura,25
TXN026,2024-06-08 19:00:00,49012,Completada,Pago de Factura,26
TXN027,2024-06-28 06:00:00,40302,Fallida,Pago de Factura,27
TXN028,2024-07-03 01:00:00,27833,Pendiente,Pago de Factura,28
TXN029,2024-07-29 02:00:00,30313,Fallida,Pago de Factura,29
TXN030,2024-07-26 20:00:00,134884,Fallida,Pago de Factura,30
